timestamp,speed,steering_angle,direction,ultrasonic,Infrared
1763721811.451809,0,100,0,72,2
1763721811.5430925,30,90,1,71,2
1763721811.5885367,30,90,1,72,2
1763721811.632163,30,90,1,73,2
1763721811.6791759,30,90,1,68,2
1763721811.7223313,30,90,1,70,2
1763721811.7900953,30,90,1,69,3
1763721811.836916,30,110,1,70,3
1763721811.8892705,30,110,1,65,3
1763721811.9430876,30,110,1,68,3
1763721812.0036526,30,110,1,67,3
1763721812.1489666,0,45,0,68,4
1763721812.5122073,30,45,-1,743,2
1763721812.5291412,30,45,-1,74,2
1763721812.5465136,30,45,-1,-4,2
1763721812.6115005,30,70,1,173,1
1763721812.6777472,30,70,1,83,1
1763721812.722215,30,70,1,82,1
1763721812.7843506,30,70,1,195,1
1763721812.8326085,30,70,1,81,1
1763721812.8931677,30,90,1,79,2
1763721812.9499342,30,90,1,67,2
1763721812.9999375,30,90,1,67,2
1763721813.0883572,30,110,1,66,3
1763721813.1479545,30,110,1,67,4
1763721813.2062602,22,135,1,-4,4
1763721813.2692204,22,135,1,-4,4
1763721813.331025,22,135,1,-4,4
1763721813.3861814,22,135,1,64,4
1763721813.4726746,22,135,1,63,4
1763721813.5882401,22,135,1,-4,4
1763721813.7117682,30,110,1,-4,3
1763721813.7803154,30,110,1,54,3
1763721813.8272161,30,110,1,55,3
1763721813.8795254,30,110,1,54,3
1763721813.9277751,30,110,1,54,3
1763721813.985528,30,110,1,-4,3
1763721814.0441225,30,110,1,53,3
1763721814.102218,30,110,1,51,3
1763721814.1433015,30,110,1,57,3
1763721814.193885,30,110,1,50,3
1763721814.2340956,30,110,1,50,3
1763721814.2748475,30,110,1,49,3
1763721814.3157508,30,110,1,56,3
1763721814.3564913,30,110,1,52,3
1763721814.397339,30,110,1,55,3
1763721814.4450777,30,110,1,55,3
1763721814.533374,30,110,1,-2,3
1763721814.595526,30,110,1,83,3
1763721814.6505828,30,110,1,-4,3
1763721814.710065,30,110,1,49,3
1763721814.7602613,30,110,1,118,3
1763721814.8052013,30,110,1,126,3
1763721814.8813732,30,110,1,195,3
1763721814.9441743,30,110,1,190,3
1763721815.0138793,30,110,1,-4,2
1763721815.0960422,30,90,1,497,2
1763721815.1437418,30,90,1,163,2
1763721815.1891315,30,70,1,38,1
1763721815.2320294,30,70,1,47,0
1763721815.2987323,22,45,1,287,0
1763721815.3476338,22,45,1,132,0
1763721815.3921497,22,45,1,32,0
1763721815.4306915,22,45,1,33,0
1763721815.4695022,22,45,1,32,0
1763721815.5079696,22,45,1,36,0
1763721815.546549,22,45,1,37,0
1763721815.5855956,22,45,1,41,0
1763721815.7254546,0,135,0,32,0
1763721816.0470264,30,135,-1,34,2
1763721816.0612357,30,135,-1,35,3
1763721816.0755212,30,135,-1,35,3
1763721816.1147048,30,110,1,37,4
1763721816.1538837,22,135,1,36,4
1763721816.1982303,22,135,1,36,4
1763721816.2370834,22,135,1,36,4
1763721816.2760098,22,135,1,37,4
1763721816.3206074,30,110,1,-4,3
1763721816.3769524,30,110,1,36,3
1763721816.417822,30,90,1,35,2
1763721816.4635077,30,90,1,15,1
1763721816.5040724,30,70,1,38,0
1763721816.591213,22,45,1,37,0
1763721816.65992,22,45,1,280,0
1763721816.7626665,22,45,1,275,0
1763721816.829269,22,45,1,271,0
1763721816.8957024,22,45,1,272,0
1763721816.9680538,22,45,1,272,0
1763721817.1368678,0,135,0,193,0
1763721817.4690192,30,135,-1,195,2
1763721817.497243,30,135,-1,275,2
1763721817.5275352,30,135,-1,275,3
1763721817.60294,30,110,1,275,4
1763721817.71655,22,135,1,-4,4
1763721817.7911339,22,135,1,196,3
1763721817.852992,30,110,1,198,3
1763721817.9202461,30,90,1,271,2
1763721817.9930565,30,90,1,274,1
1763721818.055643,30,70,1,277,0
1763721818.105333,22,45,1,104,0
1763721818.1699355,22,45,1,275,0
1763721818.2339585,22,45,1,159,0
1763721818.3766313,22,45,1,252,0
1763721818.5709043,0,135,0,82,0
1763721818.9250202,30,135,-1,273,3
1763721818.95135,30,135,-1,81,3
1763721818.9813173,30,135,-1,84,3
1763721819.0513124,22,135,1,84,4
1763721819.114899,22,135,1,192,4
1763721819.1914163,22,135,1,81,4
1763721819.2612946,22,135,1,-4,4
1763721819.3632941,22,135,1,-2,4
1763721819.4193413,30,110,1,183,3
1763721819.477055,30,110,1,184,3
1763721819.539084,30,90,1,188,2
1763721819.596698,30,90,1,189,1
1763721819.6569517,30,70,1,181,1
1763721819.717242,30,70,1,272,0
1763721819.7723463,22,45,1,180,0
1763721819.839984,22,45,1,-4,0
1763721819.8945968,22,45,1,177,0
1763721819.9398222,22,45,1,-4,0
1763721819.9977713,22,45,1,185,0
1763721820.052713,22,45,1,175,0
1763721820.1072092,22,45,1,178,0
1763721820.1617448,22,45,1,174,0
1763721820.2159708,22,45,1,175,0
1763721820.287786,22,45,1,175,0
1763721820.3421104,22,45,1,173,0
1763721820.399508,22,45,1,172,0
1763721820.4655502,22,45,1,171,0
1763721820.5252626,22,45,1,172,0
1763721820.5855474,22,45,1,171,0
1763721820.6473336,22,45,1,169,0
1763721820.7084312,22,45,1,169,0
1763721820.7693775,22,45,1,169,0
1763721820.8295238,30,70,1,169,1
1763721820.8993223,30,70,1,283,2
1763721820.961292,30,90,1,167,3
1763721821.0224304,30,110,1,159,4
1763721821.0833273,22,135,1,163,1
1763721821.1369376,30,70,1,129,1
1763721821.1908433,30,70,1,165,0
1763721821.2427537,22,45,1,129,0
