time,speed,steering_angle,distance
1763129078.9247205,30,NaN,NaN
1763129078.9287896,NaN,90,NaN
1763129078.9415388,NaN,NaN,36
1763129079.454661,NaN,NaN,33
1763129080.0155768,NaN,NaN,-2
1763129080.5277689,NaN,NaN,16
1763129081.0394626,NaN,NaN,9
1763129081.0426147,-30,NaN,NaN
1763129081.046586,NaN,135,NaN
1763129081.5585413,NaN,NaN,12
1763129081.565619,30,NaN,NaN
1763129081.5757136,NaN,90,NaN
1763129082.0874197,NaN,NaN,7
1763129082.094678,-30,NaN,NaN
1763129082.1044426,NaN,135,NaN
1763129082.6164377,NaN,NaN,10
1763129083.1775367,NaN,NaN,-2
1763129083.7400951,NaN,NaN,-2
1763129084.3020914,NaN,NaN,-2
1763129084.8630512,NaN,NaN,-2
1763129085.423888,NaN,NaN,-2
1763129085.984722,NaN,NaN,-2
1763129086.5456007,NaN,NaN,-2
1763129087.1063907,NaN,NaN,-2
1763129087.667225,NaN,NaN,-2
1763129088.228057,NaN,NaN,-2
1763129088.7889357,NaN,NaN,-2
1763129089.349826,NaN,NaN,-2
1763129089.8651617,NaN,NaN,70
1763129089.8721464,30,NaN,NaN
1763129089.8819902,NaN,90,NaN
1763129090.4429562,NaN,NaN,-2
1763129090.9540699,NaN,NaN,-4
1763129091.4686127,NaN,NaN,56
1763129091.9828112,NaN,NaN,49
1763129092.4979835,NaN,NaN,42
1763129093.011411,NaN,NaN,35
1763129093.5244641,NaN,NaN,30
1763129094.0372074,NaN,NaN,25
1763129094.5980787,NaN,NaN,-2
1763129095.1097941,NaN,NaN,10
1763129095.621354,NaN,NaN,4
1763129095.6282809,-30,NaN,NaN
1763129095.6382687,NaN,135,NaN
1763129096.1499834,NaN,NaN,7
1763129096.662014,NaN,NaN,13
1763129096.6688986,30,NaN,NaN
1763129096.678884,NaN,90,NaN
1763129097.1906185,NaN,NaN,7
1763129097.1974277,-30,NaN,NaN
1763129097.2072449,NaN,135,NaN
1763129097.7191048,NaN,NaN,10
1763129098.280009,NaN,NaN,-2
1763129098.8408506,NaN,NaN,-2
1763129099.4016633,NaN,NaN,-2
1763129099.9624414,NaN,NaN,-2
1763129100.5232542,NaN,NaN,-2
1763129101.0841296,NaN,NaN,-2
1763129101.6450827,NaN,NaN,-2
1763129102.2059867,NaN,NaN,-2
1763129102.7668889,NaN,NaN,-2
1763129103.327807,NaN,NaN,-2
1763129103.8887248,NaN,NaN,-2
1763129104.4496393,NaN,NaN,-2
1763129105.0105953,NaN,NaN,-2
1763129105.5715132,NaN,NaN,-2
1763129106.1324296,NaN,NaN,-2
1763129106.6933365,NaN,NaN,-2
1763129107.254337,NaN,NaN,-2
1763129107.8152678,NaN,NaN,-2
1763129108.3761542,NaN,NaN,-2
1763129108.9370558,NaN,NaN,-2
