timestamp,speed,steering_angle,direction,ultrasonic,Infrared
1763635328.573382,25,90,1,-2,1
1763635331.6448944,25,90,-1,-2,1
1763635348.8787282,0,100,0,-4,1
1763635349.0117917,30,70,1,-2,1
1763635349.1448188,30,70,1,-2,1
1763635349.2778783,30,70,1,-2,1
1763635349.4112453,30,70,1,-2,1
1763635349.5443552,30,70,1,-2,1
1763635349.677391,30,70,1,-2,1
1763635349.770048,30,70,1,156,1
1763635349.9041312,30,70,1,-2,1
1763635350.0387857,30,70,1,-2,1
1763635350.1722982,30,70,1,-2,1
1763635350.3074763,30,70,1,-2,1
1763635350.4411168,30,70,1,-2,1
1763635350.5794098,30,70,1,-2,1
1763635350.7130554,30,70,1,-2,1
1763635350.8532343,30,70,1,-2,1
1763635350.9882276,30,70,1,-2,1
1763635351.1218135,30,70,1,-2,2
1763635351.2274196,30,90,1,374,2
1763635351.3254411,30,90,1,-4,2
1763635351.4074426,30,90,1,343,3
1763635351.4901674,30,110,1,-4,3
1763635351.569614,30,110,1,369,3
1763635351.6840787,30,110,1,-2,3
1763635351.7916324,30,110,1,-2,3
1763635351.925492,30,110,1,-2,3
1763635352.0627413,30,110,1,-2,3
1763635352.202999,30,90,1,-2,2
1763635352.3365197,30,90,1,-2,2
1763635352.4700112,30,90,1,-2,2
1763635352.603306,30,90,1,-2,2
1763635352.710008,30,90,1,-4,2
1763635352.854546,30,90,1,-2,2
1763635352.9883702,30,90,1,-2,2
1763635353.1219087,30,90,1,-2,2
1763635353.2059755,30,90,1,5,2
1763635353.241346,30,90,1,5,2
1763635353.2768555,30,90,1,5,2
1763635358.3708873,30,90,1,-2,2
1763635358.5042586,30,90,1,-2,2
1763635358.6377733,30,90,1,-2,2
1763635358.7711606,30,90,1,-2,2
1763635358.9047966,30,90,1,-2,2
1763635359.0484116,30,90,1,-2,2
1763635359.1818142,30,90,1,-2,2
1763635359.3155615,30,90,1,-2,2
1763635359.4489722,30,90,1,-2,2
1763635359.5830908,30,90,1,-2,2
1763635359.7214468,30,90,1,-2,2
1763635359.823894,30,90,1,-2,2
1763635359.9586432,30,90,1,-2,2
1763635360.0923944,30,90,1,-2,2
1763635360.2256498,30,90,1,-2,2
1763635360.3064098,30,90,1,397,2
1763635360.4436674,30,90,1,-2,2
1763635360.5772836,30,90,1,-2,2
1763635360.7110636,30,90,1,-2,2
1763635360.8550398,30,90,1,-2,2
1763635360.9882872,30,90,1,-2,2
1763635361.1244807,30,90,1,-2,2
1763635361.2644076,30,90,1,-2,2
1763635361.3976264,30,90,1,-2,2
1763635361.5308845,30,90,1,-2,2
1763635361.6642492,30,90,1,-2,2
1763635361.7990866,30,90,1,-2,2
1763635361.9548597,30,90,1,-2,2
1763635362.105297,30,90,1,-2,2
1763635362.2384965,30,90,1,-2,2
1763635362.3738713,30,90,1,-2,2
1763635362.5157347,30,90,1,-2,2
1763635362.6488886,30,90,1,-2,2
1763635362.7819226,30,90,1,-2,2
1763635362.914933,30,90,1,-2,2
1763635363.0482554,30,90,1,-2,2
1763635363.1826894,30,90,1,-2,2
1763635363.3273017,30,90,1,-2,2
1763635363.4607103,30,90,1,-2,2
1763635363.594049,30,90,1,-2,2
1763635363.7290685,30,90,1,-2,2
1763635363.8720443,30,90,1,-2,2
1763635364.0062811,30,90,1,-2,2
1763635364.1400821,30,90,1,-2,2
1763635364.2735724,30,90,1,-2,2
1763635364.409,30,90,1,-2,2
1763635364.5480917,30,90,1,-2,2
1763635364.681646,30,90,1,-2,2
1763635364.7784047,30,90,1,-4,2
1763635364.9118783,30,90,1,-2,2
1763635365.047721,30,90,1,-2,2
1763635365.1881642,30,90,1,-2,2
1763635365.3217611,30,90,1,-2,2
1763635365.4555867,30,90,1,-2,2
1763635365.5897214,30,90,1,-2,2
1763635365.7242413,30,90,1,-2,2
